t,u,Wa,Wb,pH
64610,22.8657021386855,-0.000514381700113217,0.000513316990403574,8.26956475644083
64612.402703397,22.8657021386855,-0.000527170578948474,0.000510980162004422,8.6883478750735
64615,3.85584488690637,-0.000540530467679419,0.00050853899669211,8.95105042591994
64617.597296603,3.85584488690637,-0.000511510658285307,0.000513841597147062,8.15755145748084
64620,5.18501423540759,-0.000485119503058356,0.00051866388077452,7.49409991058943
64622.402703397,5.18501423540759,-0.000462000219084351,0.000522888316712532,7.22532471404489
64625,24.5342544953033,-0.000437483623712156,0.000527368074246737,7.0353669476222
64627.597296603,24.5342544953033,-0.000457721936894371,0.000523670059307009,7.18738456438365
64630,27.2153025619757,-0.00047582388514641,0.000520362408394034,7.36950766477384
64632.402703397,27.2153025619757,-0.000498819307785505,0.00051616060482972,7.75516621266609
64635,27.5901591254352,-0.000522753582767203,0.000511787250901602,8.5660145599853
64637.597296603,27.5901591254352,-0.000546560468781031,0.00050743717392854,9.03691965615573
64640,27.8044211900814,-0.000567802439986485,0.000503555767105757,9.25942217280791
64642.402703397,27.8044211900814,-0.000588684024414094,0.000499740211407846,9.41296366433501
64645,28.9069416974238,-0.000610407390482852,0.000495770842442152,9.53737229564361
64647.597296603,28.9069416974238,-0.000633577135731743,0.000491537186044572,9.64622392501112
64650,18.969108601552,-0.000654228931234149,0.000487763618177896,9.72944104290603
64652.402703397,18.969108601552,-0.000654977434663452,0.00048762684902925,9.7322656427546
64655,3.80826628478629,-0.000655761936052679,0.000487483502208226,9.73521319856304
64657.597296603,3.80826628478629,-0.000624505070928024,0.000493194865263009,9.6058917577009
64660,15.5314484031552,-0.00059607840286923,0.000498389084871216,9.45843179474804
64662.402703397,15.5314484031552,-0.000591693465426565,0.000499190315884235,9.43191668153903
64665,7.05331182901436,-0.000587084244780365,0.000500032528703887,9.4026187445688
64667.597296603,7.05331182901436,-0.000564203770596344,0.000504213328486892,9.22783828684178
64670,15.0119102443624,-0.000543449474659812,0.000508005625589216,8.99441587416516
64672.402703397,15.0119102443624,-0.00053940170128537,0.000508745248811595,8.9332499443185
64675,5.17547699863812,-0.00053514501557231,0.000509523045222735,8.86003159020227
64677.597296603,5.17547699863812,-0.000509178342449125,0.000514267766004552,8.06954840185377
64680,14.2419161108518,-0.000485588919565379,0.00051857810735851,7.50123934526448
64682.402703397,14.2419161108518,-0.000481446790598336,0.00051933497156278,7.44133044849161
64685,23.8840750855785,-0.000477088033665864,0.000520131418781965,7.38483222459773
64687.597296603,23.8840750855785,-0.000494446801225677,0.000516959564428616,7.65767285444624
64690,19.6499633182073,-0.000509981233954578,0.000514121058877562,8.09931806184983
64692.402703397,19.6499633182073,-0.000516338430120665,0.000512959449894379,8.3450610921381
64695,16.9334891098242,-0.000522997529379813,0.000511742676128516,8.57339370932848
64697.597296603,16.9334891098242,-0.000523453225227718,0.000511659409799038,8.58697394417966
64700,21.1514688148869,-0.000523863304167122,0.000511584478749662,8.59896987615139
64702.402703397,21.1514688148869,-0.000532864176618632,0.000509939808045312,8.8161630268126
64705,22.7363718034403,-0.000542280544933979,0.00050821921649232,8.97748706685227
64707.597296603,22.7363718034403,-0.000554822657935294,0.000505927478004185,9.13516757389359
64710,20.2009004215714,-0.000566056944156422,0.000503874710171765,9.24434023963083
64712.402703397,20.2009004215714,-0.000571850138600297,0.00050281615754392,9.29281994436024
64715,6.53338535061729,-0.000577915626316342,0.000501707850542803,9.33924217957468
64717.597296603,6.53338535061729,-0.000554090030373722,0.000506061346259094,9.12717821673984
64720,6.60758782485853,-0.000532469373924058,0.000510011947766133,8.80819091826677
64722.402703397,6.60758782485853,-0.000511430985363609,0.000513856155260299,8.15447798620905
64725,23.7285723973664,-0.00048914810668252,0.000517927760315567,7.55873783499846
64727.597296603,23.7285723973664,-0.000505732433808721,0.000514897414410459,7.9501434214352
64730,16.1162825376337,-0.000520575660232089,0.000512185208478414,8.4967012443958
64732.402703397,16.1162825376337,-0.000519390326872075,0.000512401796710568,8.45638934500625
64735,26.360610009339,-0.000518144982856985,0.000512629350298234,8.41217088151208
64737.597296603,26.360610009339,-0.000539451055716816,0.000508736230598325,8.93404122202407
64740,2.7724269604182,-0.000558480294486022,0.000505259141938483,9.17329776992844
64742.402703397,2.7724269604182,-0.000529067551053879,0.000510633540666833,8.73422529301357
64745,6.17992374868129,-0.000497812797091823,0.000516344517962646,7.73120761440693
64747.597296603,6.17992374868129,-0.000474857241451431,0.000520539036890367,7.35807874794384
64750,5.97844408637772,-0.000454020166498878,0.000524346459662265,7.15648432367853
64752.402703397,5.97844408637772,-0.000433160741261281,0.000528157966355944,7.00729338510956
64755,9.70975975026831,-0.000411055556305473,0.000532197102596007,6.87986944456274
64757.597296603,9.70975975026831,-0.000398120253541424,0.000534560686084447,6.81466367990847
64760,21.9321227594894,-0.000386412059075576,0.000536700048078806,6.75995089985062
64762.402703397,21.9321227594894,-0.000401334866682324,0.000533973300796284,6.83035651785914
